task_id,mode,classification,stop_reason,discovery_nanos,successful_search_rerun_nanos
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.Forall.of_mem.prove,search,closed,other_or_unreported,9477881055,9376142220
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.Forall_nth.prove,committed,completed_discovery_failure,ambient_resource_limit,19678972248,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.Forall_nth.prove,search,completed_discovery_failure,ambient_resource_limit,19861735684,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.alt_proof_for_insert_sorted''.prove,committed,closed,other_or_unreported,1003814207,987749294
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.alt_proof_for_insert_sorted''.prove,search,closed,other_or_unreported,1009462175,1004136673
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_length.prove,committed,completed_discovery_failure,ambient_resource_limit,20781649076,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_length.prove,search,closed,other_or_unreported,1385634554,1427427802
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_perm.prove,committed,completed_discovery_failure,ambient_resource_limit,17936733304,
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_perm.prove,search,closed,other_or_unreported,7511088623,7567653859
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_sorted''.prove,committed,closed,other_or_unreported,1060267217,1052804173
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_sorted''.prove,search,closed,other_or_unreported,1059583617,1063015244
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_sorted'.prove,committed,closed,other_or_unreported,245952480,259013821
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_sorted'.prove,search,closed,other_or_unreported,242414104,258111920
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_sorted.prove,committed,closed,other_or_unreported,5582690334,5642600180
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insert_sorted.prove,search,closed,other_or_unreported,4781523031,4738766080
sf.lean.VFA.02-SortCaseStudy.theorem.CaseStudies.SF.VFA.SortCaseStudy.insertion_sort_correct.prove,committed,closed,other_or_unreported,10530865,10726812
